nombre_nivel,segmento_completo,scenario_id,n_predios,tarifa_prom_esc,recaudo_tot_esc,share_recaudo_segmento,cobertura_tarifa_esc,recaudo_millones,share_recaudo_pct
Agresivo,Económico - Altos,77,5401,12,27530556570.72885,0.975980556235798,100,27530.56,97.6
Agresivo,Económico - Bajos,77,1276,10,359030817.7549128,0.01272793364413106,100,359.03,1.3
Agresivo,Institucional,77,74,10,169199527.02249455,0.00599826044468073,100,169.2,0.6
Agresivo,Vulnerables,77,647,6,135074614.04157102,0.00478850460603449,100,135.07,0.5
Agresivo,Servicios - Altos,77,6,13,12491200.018574154,4.428231703511056e-4,100,12.49,0
Agresivo,Servicios - Bajos,77,12,12,1746699.0839329264,6.192189900461154e-5,100,1.75,0
Conservador,Económico - Altos,324,5401,10,22942130475.607334,0.9761889334945572,100,22942.13,97.6
Conservador,Económico - Bajos,324,1276,9,323127735.97942185,0.01374910321879827,100,323.13,1.4
Conservador,Institucional,324,74,8,135359621.61799556,0.00575955946227352,100,135.36,0.6
Conservador,Vulnerables,324,647,4,90049742.69438064,0.00383162158264901,100,90.05,0.4
Conservador,Servicios - Altos,324,6,10,9608615.398903197,4.0884712204856304e-4,100,9.61,0
Conservador,Servicios - Bajos,324,12,10,1455582.569944105,6.193511967329126e-5,100,1.46,0
Moderado,Económico - Altos,38,5401,11,25236343523.168083,0.9753799137141594,100,25236.34,97.5
Moderado,Económico - Bajos,38,1276,10,359030817.7549128,0.0138764733377884,100,359.03,1.4
Moderado,Institucional,38,74,9,152279574.32024497,0.00588557680412584,100,152.28,0.6
Moderado,Vulnerables,38,647,5,112562178.36797564,0.0043505069473809,100,112.56,0.4
Moderado,Servicios - Altos,38,6,12,11530338.478683831,4.456454058056762e-4,100,11.53,0
Moderado,Servicios - Bajos,38,12,11,1601140.826938516,6.18837907397234e-5,100,1.6,0
